array size(n),time(nanoseconds),time(nanoseconds)
1000,359170,1434642
1100,138476,151768
1200,46518,179345
1300,28460,205321
1400,29255,282141
1500,31314,338147
1600,31784,381943
1700,40147,526361
1800,65322,481012
1900,69489,531746
2000,76761,603014
2100,30945,647972
2200,31110,709641
2300,33405,771482
2400,33859,839585
2500,36402,908799
2600,34818,982305
2700,35662,1056839
2800,36827,1137721
2900,38230,1215802
3000,40079,1300317
3100,39998,1386360
3200,41742,1477431
3300,45344,1567981
3400,47642,1661128
3500,49963,1765891
3600,51569,1864081
3700,53643,1962629
3800,55915,2074457
3900,56938,2179186
4000,61075,2295717
4100,64856,2409614
4200,63980,2532754
4300,63161,2646573
4400,63156,2769944
4500,63842,2893809
4600,66238,3022275
4700,67304,3157188
4800,68740,3287405
4900,70157,3427914
5000,71143,3563697
5100,73321,3708074
5200,75169,3854046
5300,75018,4003406
5400,75372,4153271
5500,76868,4308429
5600,78462,4458272
5700,78655,4617830
5800,80999,4782048
5900,81700,4946356
6000,82656,5114927
6100,83453,5284824
6200,84422,5459743
6300,87803,5630945
6400,89050,5814581
6500,93134,5992431
6600,95906,6185712
6700,97471,6361334
6800,99279,6557025
6900,102779,6747479
7000,103952,6943450
7100,105731,7138717
7200,107837,7346219
7300,111447,7545315
7400,112545,7745995
7500,115074,7963673
7600,120079,8179797
7700,122275,8390450
7800,121819,8611850
7900,126425,8835764
8000,127159,9059668
8100,131980,9280249
8200,135839,9515028
8300,135530,9744715
8400,132732,9994098
8500,132074,10220896
8600,132713,10467344
8700,132865,10705705
8800,136911,10967213
8900,135349,11214171
9000,136688,11477278
9100,137400,11716047
9200,139082,11987068
9300,141207,12249665
9400,142389,13189349
9500,143901,12787046
9600,145694,13062094
9700,146856,13330889
9800,147852,13671873
9900,150744,13892223
10000,150817,14185802
10100,152324,14467748
10200,154342,15470943
10300,153454,15048582
10400,155751,15347984
10500,156672,15647199
10600,158323,15947488
10700,159896,16255113
10800,159124,16556495
10900,162131,16869151
11000,162122,17176042
11100,163516,17504709
11200,164982,17816954
11300,165685,18142961
11400,166457,18459044
11500,168745,18783411
11600,170817,19116560
11700,173059,19453430
11800,172638,19780549
11900,173946,20119240
12000,174814,20459988
12100,175232,20811266
12200,177179,21157069
12300,178279,21506013
12400,179191,21852739
12500,181728,22208859
12600,184852,22574497
12700,189896,22869048
12800,188699,23200714
12900,192470,23546304
13000,196298,24056577
13100,198181,24386123
13200,201603,24770417
13300,204569,25143568
13400,207350,25526853
13500,209011,25907703
13600,211543,26305203
13700,215781,26724435
13800,215776,27199958
13900,218254,27462471
14000,219729,27869594
14100,221393,28260240
14200,223928,28673580
14300,224511,29069381
14400,227098,29482738
14500,230292,29892182
14600,232746,30315628
14700,237839,30672175
14800,239665,31012267
14900,240991,31426191
15000,244810,31858892
