array size(n), time(nanoseconds)
1000,359170
1100,138476
1200,46518
1300,28460
1400,29255
1500,31314
1600,31784
1700,40147
1800,65322
1900,69489
2000,76761
2100,30945
2200,31110
2300,33405
2400,33859
2500,36402
2600,34818
2700,35662
2800,36827
2900,38230
3000,40079
3100,39998
3200,41742
3300,45344
3400,47642
3500,49963
3600,51569
3700,53643
3800,55915
3900,56938
4000,61075
4100,64856
4200,63980
4300,63161
4400,63156
4500,63842
4600,66238
4700,67304
4800,68740
4900,70157
5000,71143
5100,73321
5200,75169
5300,75018
5400,75372
5500,76868
5600,78462
5700,78655
5800,80999
5900,81700
6000,82656
6100,83453
6200,84422
6300,87803
6400,89050
6500,93134
6600,95906
6700,97471
6800,99279
6900,102779
7000,103952
7100,105731
7200,107837
7300,111447
7400,112545
7500,115074
7600,120079
7700,122275
7800,121819
7900,126425
8000,127159
8100,131980
8200,135839
8300,135530
8400,132732
8500,132074
8600,132713
8700,132865
8800,136911
8900,135349
9000,136688
9100,137400
9200,139082
9300,141207
9400,142389
9500,143901
9600,145694
9700,146856
9800,147852
9900,150744
10000,150817
10100,152324
10200,154342
10300,153454
10400,155751
10500,156672
10600,158323
10700,159896
10800,159124
10900,162131
11000,162122
11100,163516
11200,164982
11300,165685
11400,166457
11500,168745
11600,170817
11700,173059
11800,172638
11900,173946
12000,174814
12100,175232
12200,177179
12300,178279
12400,179191
12500,181728
12600,184852
12700,189896
12800,188699
12900,192470
13000,196298
13100,198181
13200,201603
13300,204569
13400,207350
13500,209011
13600,211543
13700,215781
13800,215776
13900,218254
14000,219729
14100,221393
14200,223928
14300,224511
14400,227098
14500,230292
14600,232746
14700,237839
14800,239665
14900,240991
15000,244810
