array size(n), time(nanoseconds)
1000,1434642
1100,151768
1200,179345
1300,205321
1400,282141
1500,338147
1600,381943
1700,526361
1800,481012
1900,531746
2000,603014
2100,647972
2200,709641
2300,771482
2400,839585
2500,908799
2600,982305
2700,1056839
2800,1137721
2900,1215802
3000,1300317
3100,1386360
3200,1477431
3300,1567981
3400,1661128
3500,1765891
3600,1864081
3700,1962629
3800,2074457
3900,2179186
4000,2295717
4100,2409614
4200,2532754
4300,2646573
4400,2769944
4500,2893809
4600,3022275
4700,3157188
4800,3287405
4900,3427914
5000,3563697
5100,3708074
5200,3854046
5300,4003406
5400,4153271
5500,4308429
5600,4458272
5700,4617830
5800,4782048
5900,4946356
6000,5114927
6100,5284824
6200,5459743
6300,5630945
6400,5814581
6500,5992431
6600,6185712
6700,6361334
6800,6557025
6900,6747479
7000,6943450
7100,7138717
7200,7346219
7300,7545315
7400,7745995
7500,7963673
7600,8179797
7700,8390450
7800,8611850
7900,8835764
8000,9059668
8100,9280249
8200,9515028
8300,9744715
8400,9994098
8500,10220896
8600,10467344
8700,10705705
8800,10967213
8900,11214171
9000,11477278
9100,11716047
9200,11987068
9300,12249665
9400,13189349
9500,12787046
9600,13062094
9700,13330889
9800,13671873
9900,13892223
10000,14185802
10100,14467748
10200,15470943
10300,15048582
10400,15347984
10500,15647199
10600,15947488
10700,16255113
10800,16556495
10900,16869151
11000,17176042
11100,17504709
11200,17816954
11300,18142961
11400,18459044
11500,18783411
11600,19116560
11700,19453430
11800,19780549
11900,20119240
12000,20459988
12100,20811266
12200,21157069
12300,21506013
12400,21852739
12500,22208859
12600,22574497
12700,22869048
12800,23200714
12900,23546304
13000,24056577
13100,24386123
13200,24770417
13300,25143568
13400,25526853
13500,25907703
13600,26305203
13700,26724435
13800,27199958
13900,27462471
14000,27869594
14100,28260240
14200,28673580
14300,29069381
14400,29482738
14500,29892182
14600,30315628
14700,30672175
14800,31012267
14900,31426191
15000,31858892
