array size(n), time(nanoseconds)
1000,1266417
1100,164556
1200,195648
1300,224605
1400,229059
1500,265211
1600,298143
1700,447029
1800,364272
1900,393221
2000,588270
2100,589001
2200,488889
2300,531044
2400,629389
2500,641481
2600,666596
2700,720133
2800,776547
2900,818960
3000,882893
3100,948280
3200,999412
3300,1067826
3400,1137887
3500,1219059
3600,1257144
3700,1330232
3800,1424852
3900,1491652
4000,1567331
4100,1639961
4200,1722496
4300,1827897
4400,1894892
4500,1966811
4600,2068371
4700,2146933
4800,2231408
4900,2317566
5000,2439111
5100,2578368
5200,2616418
5300,2746127
5400,2895332
5500,2933701
5600,3017714
5700,3101274
5800,3245511
5900,3379157
6000,3488936
6100,3591084
6200,3735404
6300,3844866
6400,4001763
6500,4089689
6600,4169550
6700,4388164
6800,4453328
6900,4624196
7000,4751025
7100,4893136
7200,5062802
7300,5108901
7400,5287557
7500,5389029
7600,5598270
7700,5777600
7800,5859471
7900,6080038
8000,6248271
8100,6387035
8200,6518378
8300,6634960
8400,6866726
8500,6984799
8600,7139085
8700,7294442
8800,7498570
8900,7629302
9000,7845626
9100,8022956
9200,8143167
9300,8215252
9400,8452428
9500,8659045
9600,8871504
9700,9160765
9800,9271364
9900,9317783
10000,9578955
